fundISINCode,holdingISINCode,currency,securityName,weight,reportDate
HK0000012440,IE0008370151,USD,First Sentier Asia Strat Bd I USDInc,0.069929,2021/6/30
HK0000012440,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.031923,2021/6/30
HK0000012440,INE040A01034,INR,HDFC Bank Ltd,0.025951,2021/6/30
HK0000012440,,HKD,Tencent Holdings Ltd,0.02307,2021/6/30
HK0000012440,KR7005931001,KRW,Samsung Electronics Co Ltd Participating Preferred,0.022224,2021/6/30
HK0000012440,KR7035420009,KRW,NAVER Corp,0.017958,2021/6/30
HK0000012440,AU000000RMD6,AUD,ResMed Inc DR,0.015697,2021/6/30
HK0000012440,AU000000CSL8,AUD,CSL Ltd,0.015537,2021/6/30
HK0000012440,INE467B01029,INR,Tata Consultancy Services Ltd,0.014348,2021/6/30
HK0000012440,CNE100001QQ5,CNY,Midea Group Co Ltd Class A,0.01354,2021/6/30
HK0000038148,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.100092,2021/11/30
HK0000038148,KR7005930003,KRW,Samsung Electronics Co Ltd,0.078956,2021/11/30
HK0000038148,,HKD,Tencent Holdings Ltd,0.065385,2021/11/30
HK0000038148,HK0000069689,HKD,AIA Group Ltd,0.046906,2021/11/30
HK0000038148,,HKD,Alibaba Group Holding Ltd Ordinary Shares,0.035121,2021/11/30
HK0000038148,,HKD,Meituan,0.032024,2021/11/30
HK0000038148,,USD,Sea Ltd ADR,0.02981,2021/11/30
HK0000038148,HK0388045442,HKD,Hong Kong Exchanges and Clearing Ltd,0.029421,2021/11/30
HK0000038148,ID1000109507,IDR,PT Bank Central Asia Tbk,0.028707,2021/11/30
HK0000038148,INE001A01036,INR,Housing Development Finance Corp Ltd,0.027616,2021/11/30
HK0000055555,,USD,Sea Ltd ADR,0.079987,2021/11/30
HK0000055555,SG1L01001701,SGD,DBS Group Holdings Ltd,0.079179,2021/11/30
HK0000055555,ID1000109507,IDR,PT Bank Central Asia Tbk,0.065459,2021/11/30
HK0000055555,SG1S04926220,SGD,Oversea-Chinese Banking Corp Ltd,0.050475,2021/11/30
HK0000055555,ID1000118201,IDR,PT Bank Rakyat Indonesia (Persero) Tbk Class B,0.043072,2021/11/30
HK0000055555,ID1000129000,IDR,PT Telkom Indonesia (Persero) Tbk Class B,0.034695,2021/11/30
HK0000055555,TH0765010Z16,THB,Airports Of Thailand PLC,0.022677,2021/11/30
HK0000055555,MYL1295OO004,MYR,Public Bank Bhd,0.021673,2021/11/30
HK0000055555,,PHP,SM Prime Holdings Inc,0.018421,2021/11/30
HK0000055555,ID1000122807,IDR,PT Astra International Tbk,0.017797,2021/11/30
HK0000055597,MX0MGO0000H9,MXN,Mexico (United Mexican States) 8.5%,0.010805,2021/10/31
HK0000055597,IDG000015207,IDR,Indonesia (Republic of) 6.5%,0.009882,2021/10/31
HK0000055597,MX0MGO0000P2,MXN,Mexico (United Mexican States) 7.75%,0.008767,2021/10/31
HK0000055597,XS2226808322,USD,CNAC (HK) Finbridge Company Limited 3.35%,0.008433,2021/10/31
HK0000055597,TH0623038C04,THB,Thailand (Kingdom Of) 2.875%,0.00843,2021/10/31
HK0000055597,,USD,PT Indonesia Asahan Aluminium (Persero) 5.8%,0.008244,2021/10/31
HK0000055597,IDG000010307,IDR,Indonesia (Republic of) 6.125%,0.007911,2021/10/31
HK0000055597,XS1711550456,USD,Huarong Finance 2017 Co. Ltd 4%,0.007636,2021/10/31
HK0000055597,XS2098347821,USD,Gemstones International Limited 12%,0.007544,2021/10/31
HK0000055597,XS2179918037,USD,CNPC Global Capital Limited 2%,0.007461,2021/10/31
HK0000055621,CNE000000VQ8,CNY,Wuliangye Yibin Co Ltd,0.041071,2021/11/30
HK0000055621,CNE100003662,CNY,Contemporary Amperex Technology Co Ltd Class A,0.036718,2021/11/30
HK0000055621,CNE100001FR6,CNY,LONGi Green Energy Technology Co Ltd Class A,0.024988,2021/11/30
HK0000055621,CNE000001B33,CNY,China Merchants Bank Co Ltd,0.024631,2021/11/30
HK0000055621,CNE100003G67,CNY,Shenzhen Mindray Bio-Medical Electronics Co Ltd,0.023599,2021/11/30
HK0000055621,CNE000000C66,CNY,Shanghai Baosight Software Co Ltd,0.023417,2021/11/30
HK0000055621,CNE000001GS3,CNY,Tongwei Co Ltd,0.023355,2021/11/30
HK0000055621,CNE100001QQ5,CNY,Midea Group Co Ltd Class A,0.022119,2021/11/30
HK0000055621,CNE100001SL2,CNY,Foshan Haitian Flavouring and Food Co Ltd Class A,0.020707,2021/11/30
HK0000055621,CNE0000016J9,CNY,Wanhua Chemical Group Co Ltd,0.020434,2021/11/30
HK0000055746,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.066944,2021/11/30
HK0000055746,KR7005930003,KRW,Samsung Electronics Co Ltd,0.058805,2021/11/30
HK0000055746,,HKD,Tencent Holdings Ltd,0.045786,2021/11/30
HK0000055746,JP3236200006,JPY,Keyence Corp,0.037092,2021/11/30
HK0000055746,HK0000069689,HKD,AIA Group Ltd,0.034509,2021/11/30
HK0000055746,JP3435000009,JPY,Sony Group Corp,0.029746,2021/11/30
HK0000055746,JP3970300004,JPY,Recruit Holdings Co Ltd,0.028946,2021/11/30
HK0000055746,JP3837800006,JPY,Hoya Corp,0.02791,2021/11/30
HK0000055746,ID1000109507,IDR,PT Bank Central Asia Tbk,0.025229,2021/11/30
HK0000055746,JP3371200001,JPY,Shin-Etsu Chemical Co Ltd,0.023811,2021/11/30
HK0000055761,,USD,Sea Ltd ADR,0.060312,2021/11/30
HK0000055761,JP3970300004,JPY,Recruit Holdings Co Ltd,0.056838,2021/11/30
HK0000055761,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.056679,2021/11/30
HK0000055761,JP3979200007,JPY,Lasertec Corp,0.051099,2021/11/30
HK0000055761,,HKD,NetEase Inc Ordinary Shares,0.04831,2021/11/30
HK0000055761,KR7005930003,KRW,Samsung Electronics Co Ltd,0.045788,2021/11/30
HK0000055761,,TWD,Parade Technologies Ltd,0.045273,2021/11/30
HK0000055761,,HKD,Kingdee International Software Group Co Ltd,0.044752,2021/11/30
HK0000055761,,HKD,Tencent Holdings Ltd,0.044462,2021/11/30
HK0000055761,,USD,XPeng Inc ADR,0.041846,2021/11/30
HK0000084514,,,Rty Index_012122_7_Y,0.020991,2021/10/31
HK0000084514,,,Rty Index_013122_7.00_N_Regs,0.020254,2021/10/31
HK0000084514,,,Rty_Index_102921_6.5_,0.020113,2021/10/31
HK0000084514,,,"Rty_Index_111521_14,389.57_Citi",0.009823,2021/10/31
HK0000084514,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.00739,2021/10/31
HK0000084514,KR7005930003,KRW,Samsung Electronics Co Ltd,0.006081,2021/10/31
HK0000084514,,USD,Prologis Inc,0.005739,2021/10/31
HK0000084514,,USD,Coca-Cola Co,0.005309,2021/10/31
HK0000084514,,USD,Johnson & Johnson,0.00487,2021/10/31
HK0000084514,,USD,Procter & Gamble Co,0.00475,2021/10/31
HK0000084522,,,Rty Index_012122_7_Y,0.020991,2021/10/31
HK0000084522,,,Rty Index_013122_7.00_N_Regs,0.020254,2021/10/31
HK0000084522,,,Rty_Index_102921_6.5_,0.020113,2021/10/31
HK0000084522,,,"Rty_Index_111521_14,389.57_Citi",0.009823,2021/10/31
HK0000084522,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.00739,2021/10/31
HK0000084522,KR7005930003,KRW,Samsung Electronics Co Ltd,0.006081,2021/10/31
HK0000084522,,USD,Prologis Inc,0.005739,2021/10/31
HK0000084522,,USD,Coca-Cola Co,0.005309,2021/10/31
HK0000084522,,USD,Johnson & Johnson,0.00487,2021/10/31
HK0000084522,,USD,Procter & Gamble Co,0.00475,2021/10/31
HK0000095296,,,Rty Index_012122_7_Y,0.020991,2021/10/31
HK0000095296,,,Rty Index_013122_7.00_N_Regs,0.020254,2021/10/31
HK0000095296,,,Rty_Index_102921_6.5_,0.020113,2021/10/31
HK0000095296,,,"Rty_Index_111521_14,389.57_Citi",0.009823,2021/10/31
HK0000095296,TW0002330008,TWD,Taiwan Semiconductor Manufacturing Co Ltd,0.00739,2021/10/31
HK0000095296,KR7005930003,KRW,Samsung Electronics Co Ltd,0.006081,2021/10/31
HK0000095296,,USD,Prologis Inc,0.005739,2021/10/31
HK0000095296,,USD,Coca-Cola Co,0.005309,2021/10/31
HK0000095296,,USD,Johnson & Johnson,0.00487,2021/10/31
HK0000095296,,USD,Procter & Gamble Co,0.00475,2021/10/31
HK0000099173,CND1000080Y3,CNY,"Hainan Development Holdings Co., Ltd. 5.65",0.067001,2021/6/30
HK0000099173,,,Shenzhen Metro Szmetr,0.066582,2021/6/30
HK0000099173,,,Sh Powerlong Ind Dev Pwrlng,0.066543,2021/6/30
HK0000099173,CND10000GCR6,CNY,Sunac Real Estate Group Co.Ltd 6.5%,0.066397,2021/6/30
HK0000099173,,,State Power Investment Powinv,0.066382,2021/6/30
HK0000099173,XS2277949413,USD,Societe Generale S.A. 6%,0.066371,2021/6/30
HK0000099173,,,Xj 12th Shi Prod State,0.06635,2021/6/30
HK0000099173,,,Xiamen Zhongjun Gp Xmzhjn,0.066344,2021/6/30
HK0000099173,CND1000146K1,CNY,Futong Group Company Limited 7.5%,0.065875,2021/6/30
HK0000099173,CND100013Q15,CNY,Hengyang Baishazhou Development Construction Investment 4.57%,0.065732,2021/6/30
HK0000102936,MX0MGO0000H9,MXN,Mexico (United Mexican States) 8.5%,0.010805,2021/10/31
HK0000102936,IDG000015207,IDR,Indonesia (Republic of) 6.5%,0.009882,2021/10/31
HK0000102936,MX0MGO0000P2,MXN,Mexico (United Mexican States) 7.75%,0.008767,2021/10/31
