fundISINCode,distType,distKey,distValue,reportDate
HK0000012440,300,1,0.505108,2021/6/30
HK0000012440,300,3,0.393047,2021/6/30
HK0000012440,300,6,0.001245,2021/6/30
HK0000012440,300,7,0.006751,2021/6/30
HK0000012440,300,8,0.093849,2021/6/30
HK0000012440,100,1,0.015697,2021/6/30
HK0000012440,100,4,0.003843,2021/6/30
HK0000012440,100,10,0.032723,2021/6/30
HK0000012440,100,11,0.023287,2021/6/30
HK0000012440,100,12,0.169127,2021/6/30
HK0000012440,100,13,0.248366,2021/6/30
HK0000012440,100,14,0.248366,2021/6/30
HK0000012440,100,15,0.244676,2021/6/30
HK0000012440,200,102,0.054855,2021/6/30
HK0000012440,200,103,0.094321,2021/6/30
HK0000012440,200,104,0.010071,2021/6/30
HK0000012440,200,205,0.090039,2021/6/30
HK0000012440,200,206,0.045817,2021/6/30
HK0000012440,200,207,0.011833,2021/6/30
HK0000012440,200,308,0.041028,2021/6/30
HK0000012440,200,310,0.030078,2021/6/30
HK0000012440,200,311,0.115002,2021/6/30
HK0000038148,300,1,0.988996,2021/11/30
HK0000038148,300,7,0.011004,2021/11/30
HK0000038148,100,4,0.008894,2021/11/30
HK0000038148,100,12,0.411451,2021/11/30
HK0000038148,100,13,0.568652,2021/11/30
HK0000038148,100,14,0.568652,2021/11/30
HK0000038148,100,15,0.420345,2021/11/30
HK0000038148,200,102,0.164662,2021/11/30
HK0000038148,200,103,0.27042,2021/11/30
HK0000038148,200,104,0.009227,2021/11/30
HK0000038148,200,205,0.043177,2021/11/30
HK0000038148,200,206,0.045582,2021/11/30
HK0000038148,200,308,0.138789,2021/11/30
HK0000038148,200,310,0.041878,2021/11/30
HK0000038148,200,311,0.275262,2021/11/30
HK0000055555,300,1,0.984665,2021/11/30
HK0000055555,300,7,0.015335,2021/11/30
HK0000055555,100,11,0.004989,2021/11/30
HK0000055555,100,12,0.304824,2021/11/30
HK0000055555,100,13,0.674442,2021/11/30
HK0000055555,100,14,0.674442,2021/11/30
HK0000055555,100,15,0.309812,2021/11/30
HK0000055555,200,101,0.048011,2021/11/30
HK0000055555,200,102,0.065208,2021/11/30
HK0000055555,200,103,0.362759,2021/11/30
HK0000055555,200,104,0.075831,2021/11/30
HK0000055555,200,205,0.056501,2021/11/30
HK0000055555,200,206,0.028734,2021/11/30
HK0000055555,200,207,0.018519,2021/11/30
HK0000055555,200,308,0.187227,2021/11/30
HK0000055555,200,309,0.026713,2021/11/30
HK0000055555,200,310,0.076942,2021/11/30
HK0000055555,200,311,0.037636,2021/11/30
HK0000055597,300,10,0.228794,2021/10/31
HK0000055597,300,30,0.736033,2021/10/31
HK0000055597,300,50,0.035173,2021/10/31
HK0000055597,100,3,0.019624,2021/10/31
HK0000055597,100,11,0.002544,2021/10/31
HK0000055597,100,12,0.163065,2021/10/31
HK0000055597,100,13,0.700805,2021/10/31
HK0000055597,100,14,0.720429,2021/10/31
HK0000055597,100,15,0.17925,2021/10/31
HK0000055621,300,1,0.921866,2021/11/30
HK0000055621,300,3,0.074193,2021/11/30
HK0000055621,300,7,0.003941,2021/11/30
HK0000055621,100,5,0.003329,2021/11/30
HK0000055621,100,6,0.017469,2021/11/30
HK0000055621,100,13,0.901068,2021/11/30
HK0000055621,100,14,0.901068,2021/11/30
HK0000055621,100,15,0.020798,2021/11/30
HK0000055621,200,101,0.043518,2021/11/30
HK0000055621,200,102,0.121533,2021/11/30
HK0000055621,200,103,0.087876,2021/11/30
HK0000055621,200,104,0.01815,2021/11/30
